front,back,classi,method,rx,cat,detail,diff,id2
6,痔,湿热下注,清热利湿止血,脏连丸,内治,便血色鲜，量较多，肛内肿物外脱，可自行回纳，肛门灼热，重坠不适，苔黄腻，脉弦数,肛裂,
7,喘证,风寒壅肺,宣肺散寒,麻黄汤合华盖散,实喘,喘息咳逆，呼吸急促，胸部胀闷，痰多稀薄而带泡沫，色白质黏，常有头痛，恶寒，或有发热，口不渴，无汗，舌苔薄白而滑，脉浮紧,,
7,乳癖,冲任失调,调摄冲任,二仙汤合四物汤,,多见于中年妇女。乳房肿块月经前加重，经后缓减，伴有腰酸乏力，神疲倦怠，月经失调，量少色淡，或闭经。舌淡，苔白，脉沉细,,
8,喘证,肾虚不纳,补肾纳气,金匮肾气丸合参蛤散,虚喘,喘促日久，动则喘甚，呼多吸少，气不得续，形瘦神惫，跗肿，汗出肢冷，面青唇紫，舌淡苔白或黑而润滑，脉微细或沉弱，或见喘咳，面红烦躁，口咽干燥，足冷，汗出如油，舌红少津，脉细数,哮病,
8,肠痈,瘀滞证,行气活血，通腑泄热,大黄牡丹汤合红藤煎剂,,转移性右下腹痛，呈持续性、进行性加剧，右下腹局限性压痛或拒按，伴恶心纳差，可有轻度发热；苔白腻，脉弦滑或弦紧,右侧输尿管结石,
9,肺痨,阴阳两虚,滋阴补阳,补天大造丸,,肺痨病日久，咳逆喘息，少气，咳痰色白有沫，或夹血丝，血色暗淡，潮热，自汗，盗汗，声嘶或失音，面浮肢肿，心慌，唇紫，肢冷，形寒，或见五更泄泻，口舌生糜，大肉尽脱，男子遗精阳痿，女子经闭，苔黄而剥，舌质光淡隐紫，少津，脉微细而数，或虚大无力,,
9,痔,风热肠燥,清热凉血祛风,凉血地黄汤,内治,大便带血，滴血或喷射状出血，血色鲜红，大便秘结，或有肛门瘙痒，舌质红，苔薄黄，脉数,肛裂,
10,肺痨,虚火灼肺,滋阴降火,百合固金汤合秦艽鳖甲散,,呛咳气急，痰少质黏，或吐痰黄稠量多，时时咯血，血色鲜红，混有泡沫痰涎，午后潮热，骨蒸颧红，五心烦热，盗汗量多，口渴心烦，失眠，性情急躁易怒，或胸胁掣痛，男子可见遗精，女子月经不调，形体日益消瘦，近期曾有与肺痨病人接触史，舌干而红，苔薄黄而剥，脉细数,肺痿,
10,乳癖,肝郁痰凝,疏肝解郁，化痰散结,逍遥蒌贝散,,多见于青壮年妇女。乳房肿块随喜怒消长，伴有胸闷胁胀，善郁易怒，失眠多梦，心烦口苦。苔薄黄，脉弦滑,乳岩,
11,心悸,心虚胆怯,镇惊定志，养心安神,安神定志丸,,心悸不宁，善惊易恐，坐卧不安，不寐多梦而易惊醒，恶闻声响，食少纳呆，苔薄白，脉细略数或细弦,奔豚,
11,精癃,脾肾气虚,补脾益气，温肾利尿,补中益气汤,,尿频，滴沥不畅，尿线细甚或夜间遗尿或尿闭不通，神疲乏力，纳谷不香，面色无华，便溏脱肛；舌淡，苔白，脉细无力,前列腺癌,
12,心悸,心血不足,补血养心，益气安神,归脾汤,,心悸气短，头晕目眩，失眠健忘，面色无华，倦怠乏力，纳呆食少，舌淡红，脉细弱,,
12,湿疮,湿热蕴肤,清热利湿止痒,龙胆泻肝汤合萆薢渗湿汤,,发病快，病程短，皮损有潮红、丘疱疹，灼热瘙痒无休，抓破渗液流脂水；伴心烦口渴，身热不扬，大便干，小便短赤；舌红，苔薄白或黄，脉滑或数,,
13,胸痹,心血瘀阻,活血化瘀，通脉止痛,血府逐瘀汤,,心胸疼痛，如刺如绞，痛有定处，入夜为甚，甚则心痛彻背，背痛彻心，或痛引肩背，伴有胸闷，日久不愈，可因暴怒、劳累而加重，舌质紫暗，有瘀斑，苔薄，脉弦涩,真心痛,
13,湿疮,血虚风燥,养血润肤，祛风止痒,当归饮子或四物消风饮,,病程久，反复发作，皮损色暗或色素沉着，或皮损粗糙肥厚，剧痒难忍，遇热或肥皂水烫洗后瘙痒加重；伴有口干不欲饮，纳差，腹胀；舌淡，苔白，脉弦细,牛皮癣,
14,胸痹,心肾阳虚,温补阳气，振奋心阳,参附汤合右归饮,,心悸而痛，胸闷气短，动则更甚，自汗，面色白，神倦怯寒，四肢欠温或肿胀，舌质淡胖，边有齿痕，苔白或腻，脉沉细迟,,
14,脱疽,血脉瘀阻,活血化瘀，通络止痛,桃红四物汤,,患趾（指）酸胀疼痛加重，夜难入寐，步履艰难，患趾（指）皮色暗红或紫暗，下垂时更甚，皮肤发凉干燥，肌肉萎缩，趺阳脉搏动消失；舌暗红或有瘀斑，苔薄白，脉弦涩,,
15,不寐,肝火扰心,疏肝泻火，镇心安神,龙胆泻肝汤,,不寐多梦，甚则彻夜不眠，急躁易怒，伴头晕头胀，目赤耳鸣，口干而苦，不思饮食，便秘溲赤，舌红苔黄，脉弦而数,一时性失眠,
15,湿疮,脾虚湿蕴,健脾利湿止痒,除湿胃苓汤,,发病较缓，皮损潮红，丘疹，或丘疱疹少，瘙痒，抓后糜烂渗出，可见鳞屑；伴纳少，腹胀便溏，易疲乏；舌淡胖，苔白腻，脉濡缓,接触性皮炎,
16,不寐,心肾不交,滋阴降火，交通心肾,六味地黄丸合交泰丸,,心烦不寐，入睡困难，心悸多梦，伴头晕耳鸣，腰膝酸软，潮热盗汗，五心烦热，咽干少津，男子遗精，女子月经不调，舌红少苔，脉细数,,
16,绝经前后诸证,肾阴阳俱虚,补肾扶阳，滋肾养血,二仙汤,,时而畏寒恶风，时而潮热汗出，腰酸乏力，头晕耳鸣，五心烦热，舌淡苔薄，脉沉细,,51
17,痫病,瘀阻脑络,活血化瘀，息风通络,通窍活血汤,,平素头晕头痛，痛有定处，常伴单侧肢体抽搐，或一侧面部抽动，颜面口唇青紫，舌质暗红或有瘀斑，舌苔薄白，脉涩或弦。多继发于颅脑外伤、产伤、颅内感染性疾患后，或先天脑发育不全,,
17,带下病,湿热下注,清利湿热,止带方,带下过多,带下量多，色黄或黄白，质黏稠，有臭气，胸闷口腻，纳食较差，或小腹作痛，或带下色白质黏如豆腐渣状，阴痒，小便黄少，舌苔黄腻或厚，脉濡略数,,52
18,胃痛,寒邪客胃,温胃散寒，行气止痛,良附丸,,胃痛暴作，恶寒喜暖，得温痛减，遇寒加重，口淡不渴，或喜热饮，舌淡苔薄白，脉弦紧,真心痛,
18,不孕症,肝气郁结,疏肝解郁，养血理脾,开郁种玉汤,,多年不孕，经期先后不定，经来腹痛，行而不畅，量少色暗，有小血块，经前乳房胀痛，精神抑郁，烦躁易怒，舌质正常或暗红，苔薄白，脉弦,暗产,53
19,胃痛,脾胃虚寒,温中健脾，和胃止痛,黄芪建中汤,,胃痛隐隐，绵绵不休，喜温喜按，空腹痛甚，得食则缓，劳累或受凉后发作或加重，泛吐清水，神疲纳呆，四肢倦怠，手足不温，大便溏薄，舌淡苔白，脉虚弱或迟缓,,
19,崩漏,虚热证,养阴清热，固冲止血,上下相资汤,血热证,经血非时而下，量少淋沥，血色鲜红而质稠，心烦潮热，小便黄少，或大便结燥，舌质红，苔薄黄，脉细数,,
20,呕吐,痰饮内阻,温中化饮，和胃降逆,小半夏汤合苓桂术甘汤,,呕吐清水痰涎，脘闷不食，头眩心悸，舌苔白腻，脉滑,反胃,
20,带下病,脾虚,健脾益气，升阳除湿,完带汤,带下过多,带下色白或淡黄，质黏稠，无臭气，绵绵不断，面色白或萎黄，四肢不温，精神疲惫，纳少便溏，两足浮肿，舌淡苔白或腻，脉缓弱,漏下,55
21,呕吐,胃阴不足,滋养胃阴，降逆止呕,麦门冬汤,,呕吐反复发作，或时作干呕，似饥而不欲食，口燥咽干，舌红少津，脉细数,噎膈,
21,痛经,气血虚弱,益气补血止痛,圣愈汤,,经后一二日或经期小腹隐隐作痛，或小腹及阴部空坠，喜揉按，月经量少色淡质薄，或神疲乏力，或面色不华，或纳少便溏，舌质淡，脉细弱,异位妊娠,
22,腹痛,饮食积滞,消食导滞，理气止痛,枳实导滞丸,,脘腹胀满疼痛，拒按，嗳腐吞酸，厌食呕恶，痛而欲泻，泻后痛减，或大便秘结，舌苔厚腻，脉滑实,,
22,不孕症,瘀滞胞宫,活血化瘀调经,少腹逐瘀汤,,婚后久不孕，月经后期量少，色紫暗，有血块，或痛经，平时少腹作痛，痛时拒按，舌质紫暗或边有紫点，脉细弦,,
23,腹痛,瘀血内停,活血化瘀，和络止痛,少腹逐瘀汤,,腹痛较剧，痛如针刺，痛处固定，经久不愈，舌质紫暗，脉细涩 ,,
23,产后发热,外感,养血祛风,荆防四物汤,,产后恶寒发热，头痛肢体疼痛，无汗或咳嗽流涕，舌苔薄白，脉浮,,
24,泄泻,肝气乘脾,抑肝扶脾,痛泻要方,,腹痛而泻，腹中雷鸣，攻窜作痛，矢气频作，每因抑郁恼怒，或情绪紧张之时而作，素有胸胁胀闷，嗳气食少，舌淡红，脉弦。,,
24,胎漏胎动不安,血热,滋阴清热，养血安胎,保阴煎,,妊娠期，阴道下血，色鲜红，或腰腹坠胀作痛，伴心烦不安，手心烦热，口干咽燥，或有潮热，小便短黄，大便秘结，舌质红，苔黄而干，脉滑数,,
25,泄泻,肾阳虚衰,温肾健脾，固涩止泻,四神丸,,黎明前脐腹作痛，肠鸣即泻，完谷不化，腹部喜暖，泻后则安，形寒肢冷，腰膝酸软，舌淡苔白，脉沉细,,
25,胎漏胎动不安,肾虚,固肾安胎，佐以益气,寿胎丸,,妊娠期，阴道少量下血，色淡暗，腰酸腹坠痛，或伴头晕耳鸣，小便频数，夜尿多甚至失禁，或曾屡次堕胎，舌淡苔白，脉沉滑尺弱,,
26,痢疾,疫毒痢,清热解毒，凉血除积,白头翁汤,,起病急骤，痢下鲜紫脓血，腹痛剧烈，后重感特著，壮热口渴，头痛烦躁，恶心呕吐，甚者神昏惊厥，舌质红绛，舌苔黄燥，脉滑数或微欲绝,,
26,痛经,湿热瘀阻,清热除湿，化瘀止痛,清热调血汤,,经前小腹疼痛拒按，有灼热感，或伴腰骶胀痛，或平时少腹时痛，经来疼痛加剧，低热起伏，经色暗红，质稠有块，带下黄稠，小便短黄，舌红苔黄而腻，脉弦数或濡数,,
27,痢疾,休息痢,温中清肠，调气化滞,连理汤,,下痢时发时止，迁延不愈，常因饮食不当、受凉、劳累而发，发时大便次数增多，夹有赤白黏冻，腹胀食少，倦怠嗜卧，舌质淡苔腻，脉濡软或虚数,,
27,崩漏,血瘀证,活血化瘀，止血调经,桃红四物汤,,经血非时而下，时下时止，或淋沥不净，色紫黑有块，或有小腹疼痛，舌质紫暗，苔薄白，脉涩或细弦,经期延长,54
28,便秘,热秘,泻热导滞，润肠通便,麻子仁丸,,大便干结，腹胀腹痛，口干口臭，面红心烦，或有身热，小便短赤，舌红，苔黄燥，脉滑数,,
28,绝经前后诸证,肾阳虚,温肾扶阳，佐以温中健脾,右归丸合理中丸,,面色晦暗，精神萎靡，形寒肢冷，腰膝酸冷，纳呆腹胀，大便溏薄，或经行量多，或崩中暴下，色淡或暗 ，有块，面浮肢肿，夜尿多或尿频失禁，或带下清稀，舌淡或胖嫩，边有齿印，苔薄白，脉沉细无力,,
29,便秘,阴虚秘,滋阴通便,增液汤,,大便干结，如羊屎状，形体消瘦，头晕耳鸣，两颧红赤，心烦少眠，潮热盗汗，腰膝酸软，舌红少苔，脉细数,,
29,癥瘕,气滞,行气导滞，活血消癥,香棱丸,,小腹胀满，积块不坚，推之可移，或上或下，痛无定处，苔薄润，脉沉弦,,
30,胁痛,肝胆湿热,清热利湿,龙胆泻肝汤,,胁肋重着或灼热疼痛，痛有定处，触痛明显，口苦口黏，胸闷纳呆，恶心呕吐，小便黄赤，大便不爽，或兼有身热恶寒，身目发黄，舌红苔黄腻，脉弦滑数,,
30,闭经,气滞血瘀,理气活血，祛瘀通经,血府逐瘀汤,,月经数月不行，精神抑郁，烦躁易怒，胸胁胀满，少腹胀痛或拒按，舌边紫暗或有瘀点，脉沉弦或沉涩,,
31,胁痛,肝络失养,养阴柔肝,一贯煎,,胁肋隐痛，悠悠不休，遇劳加重，口干咽燥，心中烦热，头晕目眩，舌红少苔，脉细弦而数。,,
31,小儿泄泻,气阴两伤,益气养阴,人参乌梅汤,变证,泻下过度，质稀如水，精神萎靡，目眶及囟门凹陷，皮肤干燥，啼哭无泪，口渴引饮，小便短少，甚至无尿，唇红而干，舌红少津，苔少或无苔，脉细数,,56
32,头痛,风寒头痛,疏风散寒止痛,川芎茶调散,外感头痛,头痛连及项背，常有拘急收紧感，或伴恶风畏寒，遇风尤剧，口不渴，苔薄白，脉浮紧,,
32,小儿泄泻,脾肾阳虚泻,温补脾肾，固涩止泻,附子理中汤合四神丸,常证,久泻不愈，大便清稀，澄澈清冷，完谷不化，或伴脱肛，形寒肢冷，面白无华，精神萎靡，舌淡苔白，脉细弱，指纹色淡,,37
33,黄疸,疫毒炽盛（急黄）,清热解毒，凉血开窍,千金犀角散,阳黄,发病急骤，黄疸迅速加深，其色如金，皮肤瘙痒，高热口渴，胁痛腹满，神昏谵语，烦躁抽搐，或见衄血、便血，或肌肤瘀斑，舌质红绛，苔黄而燥，脉弦滑或数,萎黄,
33,水痘,邪炽气营,清气凉营，解毒化湿,清胃解毒汤,常证,壮热不退，烦躁不安，口渴欲饮，面红目赤，皮疹分布较密，疹色紫暗，疱浆混浊，大便干结，小便短黄，舌红或绛，苔黄糙而干，脉数有力。,脓胞疮,58
34,黄疸,寒湿阻遏,温中化湿，健脾和胃,茵陈术附汤,阴黄,身目俱黄，黄色晦暗，或如烟熏，脘腹痞胀，纳谷减少，大便不实，神疲畏寒，口淡不渴，舌淡苔腻，脉濡缓或沉迟,,
34,痄腮,毒窜睾腹,清肝泻火，活血止痛,龙胆泻肝汤,变证,腮部肿胀消退后，一侧或双侧睾丸肿胀疼痛，或脘腹、少腹疼痛，痛时拒按，舌红，苔黄，脉数,,59
35,头痛,风湿头痛,祛风胜湿通窍,羌活胜湿汤,外感头痛,头痛如裹，肢体困重，胸闷纳呆，大便或溏，苔白腻，脉濡,,
35,肺炎喘嗽,心阳虚衰,益气温阳，救逆固脱,参附龙牡救逆汤,变证,呼吸急促，烦躁不安，面色苍白，口唇发绀，四肢厥冷，胁下痞块，小便减少，舌质紫暗，苔白，脉细弱疾数，指纹紫滞，可达命关,,60
36,头痛,痰浊头痛,健脾燥湿，化痰降逆,半夏白术天麻汤,内伤头痛,头痛昏蒙，胸脘满闷，纳呆呕恶，舌苔白腻，脉滑或弦滑,,
36,痄腮,邪犯少阳,疏风清热，散结消肿,柴胡葛根汤,常证,轻微发热恶寒，一侧或两侧耳下腮部漫肿疼痛，咀嚼不便，或有头痛，咽红、纳少，舌质红，苔薄白或薄黄，脉浮数,,
37,头痛,肝阳头痛,平肝潜阳息风,天麻钩藤饮,内伤头痛,头昏胀痛，两侧为重，心烦易怒，夜寐不宁，口苦面红，或兼胁痛，舌红苔黄，脉弦数,,
38,眩晕,肾精不足,滋养肝肾，益精填髓,左归丸,,眩晕日久不愈，精神萎靡，腰酸膝软，少寐多梦，健忘，两目干涩，视力减退；或遗精滑泄，耳鸣齿摇；或颧红咽干，五心烦热，舌红少苔，脉细数；或面色白，形寒肢冷，舌淡嫩，苔白，脉弱尺甚,,
38,小儿泄泻,脾虚泻,健脾益气，助运止泻,参苓白术散,常证,大便稀溏，色淡不臭，多于食后作泻，时轻时重，面色萎黄，食欲不振，神疲倦怠，舌淡苔白，脉细弱，指纹淡,,
39,中风,风痰入络,祛风化痰通络,真方白丸子,中经络,肌肤不仁，手足麻木，突然发生口眼歪斜，语言不利，口角流涎，舌强语謇，甚则半身不遂，或兼见手足拘挛，关节酸痛等症，舌苔薄白，脉浮数,痉证,
39,痄腮,热毒壅盛,清热解毒，软坚散结,普济消毒饮,常证,高热，一侧或两侧耳下腮部肿胀疼痛，坚硬拒按，张口咀嚼困难，或有烦躁不安，口渴欲饮，头痛，咽红肿痛，颌下肿块胀痛，纳少，大便秘结，尿少而黄，舌质红，舌苔黄，脉滑数,,
40,中风,痰热腑实,通腑泄热，息风化痰,桃仁承气汤,中脏腑闭证,素有头痛眩晕，心烦易怒，突然发病，半身不遂，口舌歪斜，舌强语謇或不语，神志欠清或昏糊，肢体强急，痰多而黏，伴腹胀，便秘，舌质暗红，或有瘀点瘀斑，苔黄腻，脉弦滑或弦涩,,
40,水痘,邪伤肺卫,疏风清热，利湿解毒,银翘散,常证,发热轻微，或无热，鼻塞流涕，咳嗽，起病后1～2天出皮疹，疹色红润，疱浆清亮，根盘红晕，皮疹瘙痒，分布稀疏，此起彼伏，以躯干为多，舌苔薄白，脉浮数或指纹淡紫,,
41,中风,气虚络瘀,益气养血，化瘀通络,补阳还五汤,恢复期,肢体偏枯不用，肢软无力，面色萎黄，舌质淡紫或有瘀斑，苔薄白，脉细涩或细弱,口僻,
41,小儿泄泻,湿热泻,清肠解热，化湿止泻,葛根黄芩黄连汤,常证,大便水样，泻下急迫，量多次频，气味秽臭，或见少许黏液，肛周红赤，发热，烦躁口渴，恶心呕吐，小便短黄，舌质红，苔黄腻，脉滑数，指纹紫,细菌性痢疾,
42,水肿,风水相搏,疏风清热，宣肺行水,越婢加术汤,阳水,眼睑浮肿，继则四肢及全身皆肿，来势迅速，多有恶寒，发热，肢节酸楚，小便不利等症。偏于风热者，伴咽喉红肿疼痛，舌质红，脉浮滑数。偏于风寒者，兼恶寒，咳喘，舌苔薄白，脉浮滑或浮紧,癥瘕,
42,小儿泄泻,风寒泻,疏风散寒，化湿和中,藿香正气散,常证,大便清稀，夹有泡沫，臭气不甚，肠鸣腹痛，或伴恶寒发热，鼻流清涕，舌质淡，苔薄白，脉浮紧，指纹淡红,,
43,水肿,瘀水互结,活血祛瘀，化气行水,桃红四物汤合五苓散,阴水,水肿延久不退，肿势轻重不一，四肢或全身浮肿，以下肢为主，皮肤瘀斑，腰部刺痛，或伴血尿，舌紫暗，苔白，脉沉细涩,鼓胀,
43,肺炎喘嗽,风热闭肺,辛凉宣肺，化痰止咳,银翘散合麻杏石甘汤,常证,发热恶风，鼻塞流浊涕，咳嗽气促，痰稠色黄，咽红，舌质红，苔薄黄，脉浮数，指纹浮紫,咳嗽变异哮喘,
44,淋证,热淋,清热利湿通淋,八正散,,小便频数短涩，灼热刺痛，溺色黄赤，少腹拘急胀痛，或有寒热，口苦，呕恶，或有腰痛拒按，或有大便秘结，苔黄腻，脉滑数,,
44,厌食症,脾胃气虚,健脾益气,异功散,,不思进食，食量减少，面色少华，形体偏瘦，大便溏薄，夹不消化食物，舌质淡，苔薄白，脉缓无力或指纹淡红,,
45,淋证,膏淋,清热利湿，分清泄浊,程氏萆薢分清饮,,小便混浊，乳白或如米泔水，上有浮油，置之沉淀，或伴有絮状凝块物，或混有血液、血块，尿道热涩疼痛，尿时阻塞不畅，口干，苔黄腻，舌质红，脉濡数,,
45,厌食症,脾失健运,运脾开胃,不换金正气散,,食欲不振，食而乏味，食量减少，或伴胸脘胀满，大便不调，形体正常，精神如常，舌淡红，苔薄白或薄腻，脉和缓,,
46,阳痿,命门火衰,温肾壮阳,赞育丸,,阳事不举，或举而不坚，精薄清冷，神疲倦怠，畏寒肢冷，面色白，头晕耳鸣，腰膝酸软，夜尿清长，舌淡胖，苔薄白，脉沉细,早泄,
47,郁证,痰气郁结,行气开郁，化痰散结,半厦厚朴汤,,精神抑郁，胸部闷塞，胁肋胀满，咽中如有物梗塞，吞之不下，咯之不出，苔白腻，脉弦滑,,
48,郁证,心神失养,甘润缓急，养心安神,甘麦大枣汤,,精神恍惚，心神不宁，多疑易惊，悲忧善哭，喜怒无常，或时时欠伸，或手舞足蹈，骂詈喊叫等，舌质淡，脉弦。此种证候多见于女性，常因精神刺激而诱发。临床表现多种多样，但同一患者每次发作多为同样几种症状的重复,,
49,血证,脾胃虚寒,健脾温中，养血止血,黄土汤,便血,便血紫暗，甚则黑色，腹部隐痛，喜热饮，面色不华，神倦懒言，便溏，舌质淡，脉细。,,
50,血证,阴虚火旺,滋阴降火，宁络止血,茜根散,紫斑,皮肤出现青紫斑点或斑块，时发时止，常伴鼻衄、齿衄或月经过多，颧红，心烦，口渴，手足心热，或有潮热，盗汗，舌质红，苔少，脉细数,,
51,消渴,胃热炽盛,清胃泻火，养阴增液,玉女煎,中消,多食易饥，口渴，尿多，形体消瘦，大便干燥，苔黄，脉滑实有力,,
52,消渴,肾阴亏虚,滋阴固肾,六味地黄丸,下消,尿频量多，混浊如脂膏，或尿甜，腰膝酸软，乏力，头晕耳鸣，口干唇燥，皮肤干燥，瘙痒，舌红苔少，脉细数,,
53,内伤发热,气虚发热,益气健脾，甘温除热,补中益气汤,,发热，热势或低或高，常在劳累后发作或加剧，倦怠乏力，气短懒言，自汗，易于感冒，食少便溏，舌质淡，苔白薄，脉细弱,,
54,虚劳,肾阳虚,温补肾阳,右归丸,阳虚,腰背酸痛，遗精，阳痿，多尿或不禁，面色苍白，畏寒肢冷，下利清谷或五更泻泄，舌质淡胖，有齿痕,,
55,癌病,阴虚热毒,养阴清热，解毒散结,沙参麦冬汤合五味消毒饮,肺癌,咳嗽无痰或少痰，或痰中带血，甚则咯血不止，胸痛，心烦寐差，低热盗汗，或热势壮盛，久稽不退，口渴，大便干结，舌质红，舌苔黄，脉细数或数大,,
56,痹证,风湿热痹,清热通络，祛风除湿,白虎加桂枝汤或宣痹汤,,游走性关节疼痛，可涉及一个或多个关节，活动不便，局部灼热红肿，痛不可触，得冷则舒，可有皮下结节或红斑，常伴有发热、恶风、汗出、口渴、烦躁不安等全身症状，舌质红，舌苔黄或黄腻，脉滑数或浮数,,
57,痹证,痰瘀闭阻,化痰行瘀，蠲痹通络,双合汤,,痹证日久，肌肉关节刺痛，固定不移，或关节肌肤紫暗、肿胀，按之较硬，肢体顽麻或重着，或关节僵硬变形，屈伸不利，有硬结、瘀斑，面色暗黧，眼睑浮肿，或胸闷痰多，舌质紫暗或有瘀斑，舌苔白腻，脉弦涩,,
57,小儿泄泻,阴竭阳脱,回阳固脱,参附龙牡救逆汤,变证,泻下不止，次频量多，精神萎靡，表情淡漠，哭声微弱，面色青灰或苍白，四肢厥冷，尿少无泪，舌淡无津，脉沉细欲绝,,
58,痉证,心营热盛,清心透营，开窍止痉,清营汤,,高热烦躁，神昏谵语，项背强急，四肢抽搐，甚则角弓反张，舌质红绛，苔黄少津，脉细数,,
59,痿证,肺热津伤,清热润燥，养阴生津,清燥救肺汤,,发病急，病起发热，或热后突然出现肢体软弱无力，可较快发生肌肉瘦削，皮肤干燥，心烦口渴，咳呛少痰，咽干不利，小便黄赤或热痛，大便干燥，舌质红，苔黄，脉细数,,
60,腰痛,湿热腰痛,清热利湿，舒筋止痛,四妙丸,,腰部疼痛，重着而热，暑湿阴雨天气症状加重，活动后或可减轻，身体困重，小便短赤，苔黄腻，脉濡数或弦数,,
