front,back,method,rx,cat,detail
哮病,寒包热哮,解表散寒，清化痰热,小青龙加石膏汤或厚朴麻黄汤,发作期,喉中哮鸣有声，胸膈烦闷，呼吸急促，喘咳气逆，咳痰不爽，痰黏色黄或黄白相兼，烦躁，发热，恶寒，无汗，身痛，口干欲饮，大便偏干，舌苔白腻，舌尖边红，脉弦紧。
哮病,风痰哮证,祛风涤痰，降气平喘,华盖散合三子养亲汤,发作期,喉中痰涎壅盛，声如拽锯，或鸣声如吹哨笛，喘急胸满，但坐不得卧，咳痰黏腻难出，或为白色泡沫痰液，无明显寒热倾向，面色青黯，起病多急，常倏忽来去，发前自觉鼻、咽、眼、耳发痒，喷嚏，鼻塞，流涕，胸部憋塞，随之迅即发作，舌苔厚浊，脉滑实。
哮病,虚哮,补肺纳肾，降气化痰,平喘固本汤,发作期,喉中哮鸣如鼾，声低，气短息促，动则喘甚，发作频繁，甚则持续喘哮，口唇、爪甲青紫，咳痰无力，痰涎清稀或质黏起沫，面色苍白或颧红唇紫，口不渴或咽干口渴，形寒肢冷或烦热，舌质淡或偏红，或紫黯，脉沉细或细数。
哮病,肺脾气虚,健脾益气，补土生金,玉屏风散合六君子汤,缓解期,有哮喘反复发作史，气短声低，自汗，怕风，常易感冒，倦怠无力，食少便溏，或喉中时有轻度哮鸣，痰多质稀，色白，舌质淡，苔白，脉细弱 
哮病,肺肾两虚,补肺益肾,生脉地黄汤合金水六君煎,缓解期,有哮喘发作史，短气息促，动则为甚，吸气不利，咳痰质黏起沫，脑转耳鸣，腰酸腿软，心慌，不耐劳累，或五心烦热，颧红，口干，舌质红少苔，脉细数，或畏寒肢冷，面色苍白，舌苔淡白，质胖，脉沉细
喘证,风寒壅肺,宣肺散寒,麻黄汤合华盖散,实喘,喘息咳逆，呼吸急促，胸部胀闷，痰多稀薄而带泡沫，色白质黏，常有头痛，恶寒，或有发热，口不渴，无汗，舌苔薄白而滑，脉浮紧
喘证,表寒肺热,解表清里，化痰平喘,麻杏石甘汤,实喘,喘逆上气，胸胀或痛，息粗，鼻扇，咳而不爽，吐痰稠黏，伴形寒，身热，烦闷，身痛，有汗或无汗，口渴，舌苔薄白或罩黄，舌边红，脉浮数或滑
喘证,痰热郁肺,清热化痰，宣肺平喘,桑白皮汤,实喘,喘促气涌，胸部胀痛，咳嗽痰多，质黏色黄，或兼有血色，伴胸中烦闷，身热，有汗，口渴而喜冷饮，面赤，咽干，小便赤涩，大便或秘，舌质红，舌苔薄黄或腻，脉滑数
喘证,痰浊阻肺,祛痰降逆，宣肺平喘,二陈汤合三子养亲汤,实喘,喘而胸满闷塞，甚则胸盈仰息，咳嗽，痰多黏腻色白，咯吐不利，兼有呕恶，食少，口黏不渴，舌苔白腻，脉滑或濡
喘证,肺气郁痹,开郁降气平喘,五磨饮子,实喘,喘促症状每遇情志刺激而诱发，发时突然呼吸短促，息粗气憋，胸闷胸痛，咽中如窒，但喉中痰鸣不著，或无痰声。平素常多忧思抑郁，失眠，心悸。苔薄，脉弦
喘证,肺气虚耗,补肺益气养阴,生脉散合补肺汤,虚喘,喘促短气，气怯声低，喉有鼾声，咳声低弱，痰吐稀薄，自汗畏风，或见咳呛，痰少质黏，烦热而渴，咽喉不利，面颧潮红，舌质淡红或有苔剥，脉软弱或细数
喘证,肾虚不纳,补肾纳气,金匮肾气丸合参蛤散,虚喘,喘促日久，动则喘甚，呼多吸少，气不得续，形瘦神惫，跗肿，汗出肢冷，面青唇紫，舌淡苔白或黑而润滑，脉微细或沉弱，或见喘咳，面红烦躁，口咽干燥，足冷，汗出如油，舌红少津，脉细数
喘证,正虚喘脱,扶阳固脱，镇摄肾气,参附汤送服黑锡丹，配合蛤蚧粉,虚喘,喘逆剧甚，张口抬肩，鼻扇气促，端坐不能平卧，稍动则咳喘欲绝，或有痰鸣，心慌动悸，烦躁不安，面青唇紫，汗出如珠，肢冷，脉浮大无根，或见歇止，或模糊不清
肺痨,肺阴亏损,滋阴润肺,月华丸,,干咳，咳声短促，或咯少量黏痰，或痰中带有血丝，色鲜红，胸部隐隐闷痛，午后自觉手足心热，或见少量盗汗，皮肤干灼，口干咽燥，近期曾有与肺痨病人接触史，舌苔薄白，舌边尖红，脉细数
肺痨,虚火灼肺,滋阴降火,百合固金汤合秦艽鳖甲散,,呛咳气急，痰少质黏，或吐痰黄稠量多，时时咯血，血色鲜红，混有泡沫痰涎，午后潮热，骨蒸颧红，五心烦热，盗汗量多，口渴心烦，失眠，性情急躁易怒，或胸胁掣痛，男子可见遗精，女子月经不调，形体日益消瘦，近期曾有与肺痨病人接触史，舌干而红，苔薄黄而剥，脉细数
肺痨,气阴耗伤,益气养阴,保真汤或参苓白术散,,咳嗽无力，气短声低，咳痰清稀色白，量较多，偶或夹血，或咯血，血色淡红，午后潮热，伴有畏风，怕冷，自汗与盗汗可并见，纳少神疲，便溏，面白，颧红，近期曾有与肺痨病人接触史。舌质光淡，边有齿印，苔薄，脉细弱而数
肺痨,阴阳两虚,滋阴补阳,补天大造丸,,肺痨病日久，咳逆喘息，少气，咳痰色白有沫，或夹血丝，血色暗淡，潮热，自汗，盗汗，声嘶或失音，面浮肢肿，心慌，唇紫，肢冷，形寒，或见五更泄泻，口舌生糜，大肉尽脱，男子遗精阳痿，女子经闭，苔黄而剥，舌质光淡隐紫，少津，脉微细而数，或虚大无力
心悸,心虚胆怯,镇惊定志，养心安神,安神定志丸,,心悸不宁，善惊易恐，坐卧不安，不寐多梦而易惊醒，恶闻声响，食少纳呆，苔薄白，脉细略数或细弦
心悸,心血不足,补血养心，益气安神,归脾汤,,心悸气短，头晕目眩，失眠健忘，面色无华，倦怠乏力，纳呆食少，舌淡红，脉细弱
心悸,心阳不振,温补心阳，安神定悸,桂甘龙牡汤合参附汤,,心悸不安，胸闷气短，动则尤甚，面色苍白，形寒肢冷，舌淡苔白，脉虚弱或沉细无力
心悸,水饮凌心,振奋心阳，化气行水，宁心安神,苓桂术甘汤,,心悸眩晕气急，胸闷痞满，渴不欲饮，小便短少，或下肢浮肿，形寒肢冷，伴恶心、欲吐、流涎，舌淡胖，苔白滑，脉弦滑或沉细而滑
心悸,阴虚火旺,滋阴清火，养心安神,天王补心丹合朱砂安神丸,,心悸易惊，心烦失眠，五心烦热，口干，盗汗，思虑劳心则症状加重，伴耳鸣腰酸，头晕目眩，急躁易怒，舌红少津，苔少或无，脉细数
心悸,瘀阻心脉,活血化瘀，理气通络,桃仁红花煎合桂甘龙牡汤,,心悸不安，胸闷不舒，心痛时作，痛如针刺，唇甲青紫，舌质紫暗或有瘀斑，脉涩或结或代
心悸,痰火扰心,清热化痰，宁心安神,黄连温胆汤,,心悸时发时止，受惊易作，胸闷烦躁，失眠多梦，口干苦，大便秘结，小便短赤，舌红，苔黄腻，脉弦滑
胸痹,心血瘀阻,活血化瘀，通脉止痛,血府逐瘀汤,,心胸疼痛，如刺如绞，痛有定处，入夜为甚，甚则心痛彻背，背痛彻心，或痛引肩背，伴有胸闷，日久不愈，可因暴怒、劳累而加重，舌质紫暗，有瘀斑，苔薄，脉弦涩
胸痹,气滞心胸,疏肝理气，活血通络,柴胡疏肝散,,心胸满闷，隐痛阵发，痛有定处，时欲太息，遇情志不遂时容易诱发或加重，或兼有脘腑胀闷，得嗳气或矢气则舒，苔薄或薄腻，脉细弦
胸痹,痰浊闭阻,通阳泄浊，豁痰宣痹,栝蒌薤白半夏汤合涤痰汤,,胸闷重而心痛微，痰多气短，肢体沉重，形体肥胖，遇阴雨天而易发作或加重，伴有倦怠乏力，纳呆便溏，咯吐痰涎，舌体胖大且边有齿痕，苔浊腻或白滑，脉滑
胸痹,寒凝心脉,辛温散寒，宣通心阳,枳实薤白桂枝汤合当归四逆汤,,猝然心痛如绞，心痛彻背，喘不得卧，多因气候骤冷或骤感风寒而发病或加重，伴形寒，甚则手足不温，冷汗自出，胸闷气短，心悸，面色苍白，苔薄白，脉沉紧或沉细
胸痹,气阴两虚,益气养阴，活血通脉,生脉散合人参养荣汤,,心胸隐痛，时作时休，心悸气短，动则益甚，伴倦怠乏力，声息低微，面色白，易汗出，舌质淡红，舌体胖且边有齿痕，苔薄白，脉虚细缓或结代
胸痹,心肾阴虚,滋阴清火，养心活络,天王补心丹合炙甘草汤,,心痛憋闷，心悸盗汗，虚烦不寐，腰酸膝软，头晕耳鸣，口干便秘，舌红少津，苔薄或剥，脉细数或促代
胸痹,心肾阳虚,温补阳气，振奋心阳,参附汤合右归饮,,心悸而痛，胸闷气短，动则更甚，自汗，面色白，神倦怯寒，四肢欠温或肿胀，舌质淡胖，边有齿痕，苔白或腻，脉沉细迟
不寐,肝火扰心,疏肝泻火，镇心安神,龙胆泻肝汤,,不寐多梦，甚则彻夜不眠，急躁易怒，伴头晕头胀，目赤耳鸣，口干而苦，不思饮食，便秘溲赤，舌红苔黄，脉弦而数
不寐,痰热扰心,清化痰热，和中安神,黄连温胆汤,,心烦不寐，胸闷脘痞，泛恶嗳气，伴口苦，头重，目眩，舌偏红，苔黄腻，脉滑数
不寐,心脾两虚,补益心脾，养血安神,归脾汤,,不易入睡，多梦易醒，心悸健忘，神疲食少，伴头晕目眩，四肢倦怠，腹胀便溏，面色少华，舌淡苔薄，脉细无力
不寐,心肾不交,滋阴降火，交通心肾,六味地黄丸合交泰丸,,心烦不寐，入睡困难，心悸多梦，伴头晕耳鸣，腰膝酸软，潮热盗汗，五心烦热，咽干少津，男子遗精，女子月经不调，舌红少苔，脉细数
不寐,心胆气虚,益气镇惊，安神定志,安神定志丸合酸枣仁汤,,虚烦不寐，触事易惊，终日惕惕，胆怯心悸，伴气短自汗，倦怠乏力，舌淡，脉弦细
痫病,风痰闭阻,涤痰息风，开窍定痫,定痫丸,,发病前常有眩晕，头昏，胸闷，乏力，痰多，心情不悦。发作呈多样性，或见突然跌倒，神志不清，抽搐吐涎，或伴尖叫与二便失禁，或短暂神志不清，双目发呆，茫然所失，谈话中断，持物落地，或精神恍惚而无抽搐，舌质红，苔白腻，脉多弦滑有力
痫病,痰火扰神,清热泻火，化痰开窍,龙胆泻肝汤合涤痰汤,,发作时昏仆抽搐，吐涎，或有吼叫，平时急躁易怒，心烦失眠，咳痰不爽，口苦咽干，便秘溲黄，病发后，症情加重，彻夜难眠，目赤，舌红，苔黄腻，脉弦滑而数
痫病,瘀阻脑络,活血化瘀，息风通络,通窍活血汤,,平素头晕头痛，痛有定处，常伴单侧肢体抽搐，或一侧面部抽动，颜面口唇青紫，舌质暗红或有瘀斑，舌苔薄白，脉涩或弦。多继发于颅脑外伤、产伤、颅内感染性疾患后，或先天脑发育不全
痫病,心脾两虚,补益气血，健脾宁心,六君子汤合归脾汤,,反复发痫不愈，神疲乏力，心悸气短，失眠多梦，面色苍白，体瘦纳呆，大便溏薄，舌质淡，苔白腻，脉沉细而弱
痫病,心肾亏虚,补益心肾，潜阳安神,左归丸合天王补心丹,,痫病频发，神思恍惚，心悸，健忘失眠，头晕目眩，两目干涩，面色晦暗，耳轮焦枯不泽，腰膝酸软，大便干燥，舌质淡红，脉沉细而数
胃痛,寒邪客胃,温胃散寒，行气止痛,良附丸,,胃痛暴作，恶寒喜暖，得温痛减，遇寒加重，口淡不渴，或喜热饮，舌淡苔薄白，脉弦紧
胃痛,饮食伤胃,消食导滞，和胃止痛,保和丸,,胃脘疼痛，胀满拒按，嗳腐吞酸，或呕吐不消化食物，其味腐臭，吐后痛减，不思饮食，大便不爽，得矢气及便后稍舒，舌苔厚腻，脉滑
胃痛,肝气犯胃,疏肝解郁，理气止痛,柴胡疏肝散,,胃脘胀痛，痛连两胁，遇烦恼则痛作或痛甚，嗳气、矢气则痛舒，胸闷嗳气，喜长叹息，大便不畅，舌苔多薄白，脉弦
胃痛,湿热中阻,清化湿热，理气和胃,清中汤,,胃脘疼痛，痛势急迫，脘闷灼热，口干口苦，口渴而不欲饮，纳呆恶心，小便色黄，大便不畅，舌红，苔黄腻，脉滑数
胃痛,瘀血停胃,化瘀通络，理气和胃,失笑散合丹参饮,,胃脘疼痛，如针刺，似刀割，痛有定处，按之痛甚，痛时持久，食后加剧，入夜尤甚，或见吐血黑便，舌质紫黯或有瘀斑，脉涩
胃痛,胃阴亏耗,养阴益胃，和中止痛,一贯煎合芍药甘草汤,,胃脘隐隐灼痛，似饥而不欲食，口燥咽干，五心烦热，消瘦乏力，口渴思饮，大便干结，舌红少津，脉细数
胃痛,脾胃虚寒,温中健脾，和胃止痛,黄芪建中汤,,胃痛隐隐，绵绵不休，喜温喜按，空腹痛甚，得食则缓，劳累或受凉后发作或加重，泛吐清水，神疲纳呆，四肢倦怠，手足不温，大便溏薄，舌淡苔白，脉虚弱或迟缓
呕吐,外邪犯胃,疏邪解表，化浊和中,藿香正气散,,突然呕吐，胸脘满闷，发热恶寒，头身疼痛，舌苔白腻，脉濡缓
呕吐,食滞内停,消食化滞，和胃降逆,保和丸,,呕吐酸腐，脘腹胀满，嗳气厌食，大便或溏或结，舌苔厚腻，脉滑实
呕吐,痰饮内阻,温中化饮，和胃降逆,小半夏汤合苓桂术甘汤,,呕吐清水痰涎，脘闷不食，头眩心悸，舌苔白腻，脉滑
呕吐,肝气犯胃,疏肝理气，和胃降逆,四七汤,,呕吐吞酸，嗳气频繁，胸胁胀痛，舌淡红，苔薄，脉弦
呕吐,脾胃气虚,健脾益气，和胃降逆,香砂六君子汤,,恶心呕吐，食欲不振，食入难化，脘部痞闷，大便不畅，舌淡胖，苔薄，脉细
呕吐,脾胃阳虚,温中健脾，和胃降逆,理中汤,,饮食稍多即吐，时作时止，面色白，倦怠乏力，喜暖恶寒，四肢不温，大便溏薄，舌质淡，脉濡弱
呕吐,胃阴不足,滋养胃阴，降逆止呕,麦门冬汤,,呕吐反复发作，或时作干呕，似饥而不欲食，口燥咽干，舌红少津，脉细数
腹痛,寒邪内阻,散寒温里，理气止痛,良附丸合正气天香散,,腹痛拘急，遇寒痛甚，得温痛减，口淡不渴，形寒肢冷，小便清长，大便清稀或秘结，舌质淡，苔白腻，脉沉紧
腹痛,湿热壅滞,泄热通腑，行气导滞,大承气汤,,腹痛拒按，烦渴引饮，大便秘结，或溏滞不爽，潮热汗出，小便短黄，舌质红，苔黄燥或黄腻，脉滑数
腹痛,饮食积滞,消食导滞，理气止痛,枳实导滞丸,,脘腹胀满疼痛，拒按，嗳腐吞酸，厌食呕恶，痛而欲泻，泻后痛减，或大便秘结，舌苔厚腻，脉滑实
腹痛,肝郁气滞,疏肝解郁，理气止痛,柴胡疏肝散,,腹痛胀闷，痛无定处，痛引少腹，或兼痛窜两胁，时作时止，得嗳气或矢气则舒，遇忧思恼怒则剧，舌淡红，苔薄白，脉弦
腹痛,瘀血内停,活血化瘀，和络止痛,少腹逐瘀汤,,腹痛较剧，痛如针刺，痛处固定，经久不愈，舌质紫暗，脉细涩 
腹痛,中虚脏寒,温中补虚，缓急止痛,小建中汤,,腹痛绵绵，时作时止，喜温喜按，形寒肢冷，神疲乏力，气短懒言，胃纳不佳，面色无华，大便溏薄，舌质淡，苔薄白，脉沉细
泄泻,寒湿内盛,芳香化湿，解表散寒,藿香正气散,,泄泻清稀，甚则如水样，脘闷食少，腹痛肠鸣，或兼外感风寒，则恶寒，发热，头痛，肢体酸痛，舌苔白或白腻，脉濡缓
泄泻,湿热伤中,清热利湿,葛根芩连汤,,泄泻腹痛，泻下急迫，或泻而不爽，粪色黄褐，气味臭秽，肛门灼热，烦热口渴，小便短黄，舌质红，苔黄腻，脉滑数或濡数
泄泻,食滞肠胃,消食导滞，和中止泻,保和丸,,腹痛肠鸣，泻下粪便臭如败卵，泻后痛减，脘腹胀满，嗳腐酸臭，不思饮食，舌苔垢浊或厚腻，脉滑实
泄泻,肝气乘脾,抑肝扶脾,痛泻要方,,腹痛而泻，腹中雷鸣，攻窜作痛，矢气频作，每因抑郁恼怒，或情绪紧张之时而作，素有胸胁胀闷，嗳气食少，舌淡红，脉弦。
泄泻,脾胃虚弱,健脾益气，化湿止泻,参苓白术散,,大便时溏时泻，迁延反复，食少，食后脘闷不舒，稍进油腻食物，则大便次数增加，面色萎黄，神疲倦怠，舌质淡，苔白，脉细弱
泄泻,肾阳虚衰,温肾健脾，固涩止泻,四神丸,,黎明前脐腹作痛，肠鸣即泻，完谷不化，腹部喜暖，泻后则安，形寒肢冷，腰膝酸软，舌淡苔白，脉沉细
痢疾,湿热痢,清肠化湿，调气和血,芍药汤,,痢下赤白脓血，黏稠如胶冻，腥臭，腹部疼痛，里急后重，肛门灼热，小便短赤，舌苔黄腻，脉滑数
痢疾,疫毒痢,清热解毒，凉血除积,白头翁汤,,起病急骤，痢下鲜紫脓血，腹痛剧烈，后重感特著，壮热口渴，头痛烦躁，恶心呕吐，甚者神昏惊厥，舌质红绛，舌苔黄燥，脉滑数或微欲绝
痢疾,寒湿痢,温中燥湿，调气和血,不换金正气散,,痢下赤白黏冻，白多赤少，或为纯白冻，腹痛拘急，里急后重，口淡乏味，脘胀腹满，头身困重，舌质或淡，舌苔白腻，脉濡缓
痢疾,阴虚痢,养阴和营，清肠化湿,驻车丸,,痢下赤白，日久不愈，脓血黏稠，或下鲜血，脐下灼痛，虚坐努责，食少，心烦口干，至夜转剧，舌红绛少津，苔少或花剥，脉细
痢疾,虚寒痢,温补脾肾，收涩固脱,桃花汤合真人养脏汤,,痢下赤白清稀，无腥臭，或为白冻，甚则滑脱不禁，肛门坠胀，便后更甚，腹部隐痛，缠绵不已，喜按喜温，形寒畏冷，四肢不温，食少神疲，腰膝酸软，舌淡苔薄白，脉沉细而弱
痢疾,休息痢,温中清肠，调气化滞,连理汤,,下痢时发时止，迁延不愈，常因饮食不当、受凉、劳累而发，发时大便次数增多，夹有赤白黏冻，腹胀食少，倦怠嗜卧，舌质淡苔腻，脉濡软或虚数
便秘,热秘,泻热导滞，润肠通便,麻子仁丸,,大便干结，腹胀腹痛，口干口臭，面红心烦，或有身热，小便短赤，舌红，苔黄燥，脉滑数
便秘,气秘,顺气导滞,六磨汤,,大便干结，或不甚干结，欲便不得出，或便而不爽，肠鸣矢气，腹中胀痛，嗳气频作，纳食减少，胸胁痞满，舌苔薄腻，脉弦
便秘,冷秘,温里散寒，通便止痛,温脾汤,,大便艰涩，腹痛拘急，胀满拒按，胁下偏痛，手足不温，呃逆呕吐，舌苔白腻，脉弦紧
便秘,气虚秘,益气润肠,黄芪汤,,大便并不干硬，虽有便意，但排便困难，用力努挣则汗出短气，便后乏力，面白神疲，肢倦懒言，舌淡苔白，脉弱
便秘,阴虚秘,滋阴通便,增液汤,,大便干结，如羊屎状，形体消瘦，头晕耳鸣，两颧红赤，心烦少眠，潮热盗汗，腰膝酸软，舌红少苔，脉细数
便秘,阳虚秘,温阳通便,济川煎,,大便干或不干，排出困难，小便清长，面色白，四肢不温，腹中冷痛，或腰膝酸冷，舌淡苔白，脉沉迟
胁痛,肝郁气滞,疏肝理气,柴胡疏肝散,,胁肋胀痛，走窜不定，甚则引及胸背肩臂，疼痛每因情志变化而增减，胸闷腹胀，嗳气频作，得嗳气而胀痛稍舒，纳少口苦，舌苔薄白，脉弦
胁痛,肝胆湿热,清热利湿,龙胆泻肝汤,,胁肋重着或灼热疼痛，痛有定处，触痛明显，口苦口黏，胸闷纳呆，恶心呕吐，小便黄赤，大便不爽，或兼有身热恶寒，身目发黄，舌红苔黄腻，脉弦滑数
胁痛,瘀血阻络,祛瘀通络,血府逐瘀汤或复元活血汤,,胁肋刺痛，痛有定处，痛处拒按，入夜痛甚，胁肋下或见有癥块，舌质紫暗，脉沉涩
胁痛,肝络失养,养阴柔肝,一贯煎,,胁肋隐痛，悠悠不休，遇劳加重，口干咽燥，心中烦热，头晕目眩，舌红少苔，脉细弦而数。
黄疸,热重于湿,清热通腑，利湿退黄,茵陈蒿汤,阳黄,身目俱黄，黄色鲜明，发热口渴，或见心中懊恼，腹部胀闷，口干而苦，恶心呕吐，小便短少黄赤，大便秘结，舌苔黄腻，脉弦数
黄疸,湿重于热,利湿化浊运脾，佐以清热,茵陈五苓散合甘露消毒丹,阳黄,身目俱黄，黄色不及前者鲜明，头重身困，胸脘痞满，食欲减退，恶心呕吐，腹胀或大便溏垢，舌苔厚腻微黄，脉濡数或濡缓
黄疸,胆腑郁热,疏肝泄热，利胆退黄,大柴胡汤,阳黄,身目发黄，黄色鲜明，上腹、右胁胀闷疼痛，牵引肩背，身热不退，或寒热往来，口苦咽干，呕吐呃逆，尿黄赤，大便秘，苔黄舌红，脉弦滑数
黄疸,疫毒炽盛（急黄）,清热解毒，凉血开窍,千金犀角散,阳黄,发病急骤，黄疸迅速加深，其色如金，皮肤瘙痒，高热口渴，胁痛腹满，神昏谵语，烦躁抽搐，或见衄血、便血，或肌肤瘀斑，舌质红绛，苔黄而燥，脉弦滑或数
黄疸,寒湿阻遏,温中化湿，健脾和胃,茵陈术附汤,阴黄,身目俱黄，黄色晦暗，或如烟熏，脘腹痞胀，纳谷减少，大便不实，神疲畏寒，口淡不渴，舌淡苔腻，脉濡缓或沉迟
黄疸,脾虚湿滞,健脾养血，利湿退黄,黄芪建中汤,阴黄,面目及肌肤淡黄，甚则晦暗不泽，肢软乏力，心悸气短，大便溏薄，舌质淡苔薄，脉濡细
黄疸,湿热留恋,清热利湿,茵陈四苓散,黄疸消退后的调治,黄疸消退后，脘痞腹胀，胁肋隐痛，饮食减少，口中干苦，小便黄赤，苔腻，脉濡数
黄疸,肝脾不调,调和肝脾，理气助运,柴胡疏肝散或归芍六君子汤,黄疸消退后的调治,黄疸消退后，脘腹痞闷，肢倦乏力，胁肋隐痛不适，饮食欠香，大便不调，舌苔薄白，脉来细弦
黄疸,气滞血瘀,疏肝理气，活血化瘀,逍遥散合鳖甲煎丸,黄疸消退后的调治,黄疸消退后，胁下结块，隐痛、刺痛不适，胸胁胀闷，面颈部见有赤丝红纹，舌有紫斑或紫点，脉涩
头痛,风寒头痛,疏风散寒止痛,川芎茶调散,外感头痛,头痛连及项背，常有拘急收紧感，或伴恶风畏寒，遇风尤剧，口不渴，苔薄白，脉浮紧
头痛,风热头痛,疏风清热和络,芎芷石膏汤,外感头痛,头痛而胀，甚则头胀如裂，发热或恶风，面红目赤，口渴喜饮，大便不畅，或便秘，溲赤，舌尖红，苔薄黄，脉浮数
头痛,风湿头痛,祛风胜湿通窍,羌活胜湿汤,外感头痛,头痛如裹，肢体困重，胸闷纳呆，大便或溏，苔白腻，脉濡
头痛,肝阳头痛,平肝潜阳息风,天麻钩藤饮,内伤头痛,头昏胀痛，两侧为重，心烦易怒，夜寐不宁，口苦面红，或兼胁痛，舌红苔黄，脉弦数
头痛,血虚头痛,养血滋阴，和络止痛,加味四物汤,内伤头痛,头痛隐隐，时时昏晕，心悸失眠，面色少华，神疲乏力，遇劳加重，舌质淡，苔薄白，脉细弱
头痛,痰浊头痛,健脾燥湿，化痰降逆,半夏白术天麻汤,内伤头痛,头痛昏蒙，胸脘满闷，纳呆呕恶，舌苔白腻，脉滑或弦滑
头痛,肾虚头痛,养阴补肾，填精生髓,大补元煎,内伤头痛,头痛且空，眩晕耳鸣，腰膝酸软，神疲乏力，滑精带下，舌红少苔，脉细无力
头痛,瘀血头痛,活血化瘀，通窍止痛,通窍活血汤,内伤头痛,头痛经久不愈，痛处固定不移，痛如锥刺，或有头部外伤史，舌紫暗，或有瘀斑、瘀点，苔薄白，脉细或细涩
